Обрезок	826,5	1463	0	347	0


Заказ=
Дата=11.05.2020

Карта=1
Материал=ДСП бук
Длина=2440
Ширина=1830
КоличествоПлит=1
КоличествоРезов=38
ДлинаРезов=28875
13	1768	400	0	0	0
14	1768	400	0	405	0
11	600	400	0	810	0
12	600	400	605	810	0
24	508	400	1210	810	0
16	896	175	0	1215	0
8	850,5	125	901	1215	0
16	896	175	0	1395	0
8	850,5	125	901	1395	0
10	1768	60	0	1575	0
10	1768	60	0	1640	0
22	359	125	1773	0	0
22	359	125	1773	130	0
23	359	125	1773	260	0
23	359	125	1773	390	0
15	334	125	1773	520	0
15	334	125	1773	650	0
9	334	125	1773	780	0
9	334	125	1773	910	0
26	359	115	1773	1040	0
28	359	115	1773	1160	0
17	334	115	1773	1280	0
18	334	115	1773	1400	0
Обрезок	283	1810	2137	0	0
Обрезок	1768	105	0	1705	0

Карта=2
Материал=ДСП бук
Длина=2440
Ширина=1830
КоличествоПлит=1
КоличествоРезов=15
ДлинаРезов=13698
19	896	175	0	0	0
21	896	175	0	180	0
21	896	175	0	360	0
27	896	175	0	540	0
8	850,5	125	0	720	0
8	850,5	125	0	850	0
20	850,5	115	0	980	0
20	850,5	115	0	1100	0
Обрезок	1519	1810	901	0	0
Обрезок	896	590	0	1220	0


Заказ=
Дата=22.05.2020

Карта=1
Материал=Кромка ПВХ серая 0,4/19
Длина=2800
Ширина=2055
КоличествоПлит=1
КоличествоРезов=14
ДлинаРезов=15914
3	1700	600	0	0	0
3а	1700	600	0	605	0
4	718	450	0	1210	0
5	718	450	723	1210	0
2	100	418,5	1446	1210	0
2	100	418,5	1551	1210	0
1	1568	224	0	1665	0
Обрезок	1075	2050	1705	0	0
Обрезок	1700	156	0	1894	0


Заказ=
Дата=24.01.2021

Карта=1
Материал=Остаток моего материала
Длина=580
Ширина=1869
КоличествоПлит=1
КоличествоРезов=8
ДлинаРезов=5167
2	289	1005	291	0	0
2	289	1005	0	0	0
3	289	564	291	1007	0
3	289	564	0	1007	0
3	564	289	0	1573	0

Карта=2
Материал=Остаток моего материала
Длина=582
Ширина=2475
КоличествоПлит=1
КоличествоРезов=6
ДлинаРезов=5000
1	289	959	291	0	0
1	289	959	0	0	0
1	289	959	291	961	0
1	289	959	0	961	0
Обрезок	582	553	0	1922	0

Карта=3
Материал=Остаток моего материала
Длина=575
Ширина=384
КоличествоПлит=1
КоличествоРезов=2
ДлинаРезов=864
3	564	289	0	0	0
Обрезок	575	93	0	291	0

Карта=4
Материал=Остаток моего материала
Длина=396
Ширина=2066
КоличествоПлит=1
КоличествоРезов=3
ДлинаРезов=2644
4	289	1020	0	0	0
4	289	1020	0	1022	0
Обрезок	105	2066	291	0	0


Заказ=
Дата=29.01.2021

Карта=1
Материал=Остаток моего материала
Длина=582
Ширина=553
КоличествоПлит=1
КоличествоРезов=4
ДлинаРезов=1706
1	469,5	271	0	0	0
1	469,5	271	0	273	0
Обрезок	110,5	271	471,5	0	0
Обрезок	110,5	271	471,5	0	0

Карта=2
Материал=Остаток моего материала
Длина=170
Ширина=286
КоличествоПлит=1
КоличествоРезов=2
ДлинаРезов=423
3	147	253	0	0	0

Карта=3
Материал=Остаток моего материала
Длина=172
Ширина=294
КоличествоПлит=1
КоличествоРезов=2
ДлинаРезов=425
3	147	253	0	0	0

Карта=4
Материал=Остаток моего материала
Длина=342
Ширина=398
КоличествоПлит=1
КоличествоРезов=3
ДлинаРезов=848
3	147	253	0	0	0
3	147	253	149	0	0
Обрезок	342	143	0	255	0

Карта=5
Материал=Остаток моего материала
Длина=2440
Ширина=1830
КоличествоПлит=1
КоличествоРезов=5
ДлинаРезов=4318
4	170	469,5	0	0	0
4	170	469,5	172	0	0
2	147	469,5	344	0	0
2	147	469,5	493	0	0
Обрезок	2440	1358,5	0	471,5	0
Обрезок	1798	469,5	642	0	0

